participant_id,gender,ethnicity,country,age,evaluations_poop,evaluations_chocolate,evaluations_poop_pos_neg,evaluations_poop_pleasant_unpleasant,evaluations_poop_good_bad,evaluations_chocolate_pos_neg,evaluations_chocolate_pleasant_unpleasant,evaluations_chocolate_good_bad
088cf,male,White,United Kingdom,55,4,6,4,4,4,6,6,6
bcae1,male,White,United Kingdom,54,2.3333333333333335,7,2,2,3,7,7,7
d21b0,female,White,United Kingdom,57,1,7,1,1,1,7,7,7
2019a,female,White,United Kingdom,29,1,7,1,1,1,7,7,7
c1b73,male,White,United Kingdom,36,3,7,4,1,4,7,7,7
e8e9d,male,White,United States,37,2,7,2,2,2,7,7,7
0b3c5,female,White,United Kingdom,59,1,7,1,1,1,7,7,7
af70a,female,White,United Kingdom,48,2,7,1,1,4,7,7,7
0665d,female,White,United Kingdom,38,1,6.333333333333333,1,1,1,6,7,6
7a19d,female,White,United Kingdom,64,4,5,4,4,4,5,5,5
9a843,female,White,United Kingdom,59,2.6666666666666665,6,2,2,4,6,6,6
c9126,female,White,United Kingdom,56,2.3333333333333335,6,2,2,3,6,6,6
f7e6a,female,Mixed,United Kingdom,34,2,7,1,1,4,7,7,7
94368,female,White,United Kingdom,61,1,7,1,1,1,7,7,7
7690c,female,White,United Kingdom,70,2,4.666666666666667,1,1,4,5,5,4
d641f,female,White,United Kingdom,71,1,6.333333333333333,1,1,1,6,7,6
c7408,female,White,United Kingdom,44,1.6666666666666667,6.333333333333333,2,1,2,6,7,6
af769,male,White,United Kingdom,50,3,6.333333333333333,4,1,4,6,7,6
5ed16,male,White,United Kingdom,27,1,7,1,1,1,7,7,7
56353,female,White,United Kingdom,46,1.3333333333333333,6,1,1,2,6,6,6
770a3,male,White,United Kingdom,62,1,5,1,1,1,5,7,3
35d08,male,White,United Kingdom,66,3.6666666666666665,5.333333333333333,4,3,4,6,6,4
0730e,female,White,United Kingdom,59,2.3333333333333335,7,1,1,5,7,7,7
933f7,female,White,United Kingdom,60,1.3333333333333333,6.333333333333333,1,1,2,6,7,6
b7c29,male,White,United Kingdom,69,1.3333333333333333,6.666666666666667,1,1,2,6,7,7
743fd,female,White,United Kingdom,63,1,6,1,1,1,6,6,6
d4969,male,White,United Kingdom,39,1,7,1,1,1,7,7,7
7f813,male,White,United States,69,1,6.333333333333333,1,1,1,6,6,7
13c37,female,White,United Kingdom,61,2.6666666666666665,6.666666666666667,2,2,4,7,7,6
4d4b5,male,White,United Kingdom,43,3,6.666666666666667,4,1,4,6,7,7
ae0dd,female,White,United Kingdom,57,1,7,1,1,1,7,7,7
435b1,female,White,United Kingdom,42,1.6666666666666667,7,2,1,2,7,7,7
c8695,male,White,United Kingdom,60,1,7,1,1,1,7,7,7
4c038,male,White,United Kingdom,29,1.3333333333333333,7,1,1,2,7,7,7
066fe,female,White,United States,42,1.6666666666666667,5.666666666666667,1,1,3,6,5,6
6d375,male,White,United Kingdom,41,1,6,1,1,1,6,6,6
ddb1b,male,White,United Kingdom,61,1,6.666666666666667,1,1,1,6,7,7
7c5c1,female,White,United Kingdom,43,1.6666666666666667,6,2,1,2,6,6,6
b573f,male,White,United Kingdom,49,1,7,1,1,1,7,7,7
a0f2a,female,White,United Kingdom,45,3.3333333333333335,6,4,2,4,6,6,6
a40eb,female,White,United Kingdom,66,1.6666666666666667,6.333333333333333,2,1,2,6,7,6
54712,male,White,United Kingdom,38,1,5.666666666666667,1,1,1,6,6,5
16892,female,White,United Kingdom,62,3.3333333333333335,5,4,3,3,5,5,5
4e8f7,female,White,United Kingdom,74,2.6666666666666665,6.666666666666667,2,2,4,6,7,7
cb060,male,White,United Kingdom,33,2.3333333333333335,6.333333333333333,2,1,4,7,6,6
0fdf1,male,Mixed,United Kingdom,44,1.3333333333333333,7,1,1,2,7,7,7
c2e13,female,White,United Kingdom,44,1,7,1,1,1,7,7,7
26e4c,female,White,United Kingdom,40,1,7,1,1,1,7,7,7
7e63b,female,White,United Kingdom,60,2.6666666666666665,7,2,2,4,7,7,7
c866a,male,White,United Kingdom,34,2.6666666666666665,7,2,2,4,7,7,7
46090,male,White,United Kingdom,47,1,6,1,1,1,6,6,6
531bb,female,White,United Kingdom,64,2.6666666666666665,6,3,2,3,6,6,6
3743c,male,White,United Kingdom,30,2,5.666666666666667,1,1,4,6,5,6
f0fa1,female,White,United Kingdom,51,1.6666666666666667,5.666666666666667,2,1,2,6,5,6
e6734,female,White,United Kingdom,32,2.6666666666666665,6.333333333333333,3,1,4,6,7,6
038a6,male,Asian,United Kingdom,48,2,6.666666666666667,1,1,4,7,7,6
3935d,female,White,United Kingdom,47,1.3333333333333333,6,1,1,2,6,6,6
48fe8,female,White,United Kingdom,39,1,7,1,1,1,7,7,7
5a100,male,White,United Kingdom,58,1,6.666666666666667,1,1,1,6,7,7
d3cd5,male,White,United Kingdom,44,1,7,1,1,1,7,7,7
3576f,female,White,United Kingdom,41,1,7,1,1,1,7,7,7
8253d,female,White,United Kingdom,42,1.3333333333333333,3,1,1,2,3,3,3
65ff5,male,White,United Kingdom,54,1.6666666666666667,6.333333333333333,2,1,2,6,7,6
1ea7a,male,White,United Kingdom,31,7,7,7,7,7,7,7,7
04aa5,female,White,United Kingdom,57,2.3333333333333335,6.333333333333333,2,2,3,6,6,7
5009d,male,White,United Kingdom,58,1.3333333333333333,6.333333333333333,1,1,2,6,7,6
18738,female,White,United Kingdom,60,1.6666666666666667,7,1,2,2,7,7,7
06bb6,female,White,United Kingdom,44,1,7,1,1,1,7,7,7
645f1,male,White,United Kingdom,26,1,7,1,1,1,7,7,7
7cf73,male,White,United Kingdom,68,2.6666666666666665,7,4,2,2,7,7,7
32f19,male,White,United Kingdom,26,1,7,1,1,1,7,7,7
b9524,female,White,United Kingdom,47,1.3333333333333333,7,1,1,2,7,7,7
c0cb2,male,White,United States,31,1.3333333333333333,7,1,1,2,7,7,7
16e44,female,White,United Kingdom,53,2,7,2,2,2,7,7,7
68260,female,White,United Kingdom,38,2.3333333333333335,5.333333333333333,2,2,3,5,5,6
c7396,female,White,United Kingdom,31,4,6,4,4,4,6,6,6
f84c4,female,White,United Kingdom,53,2.3333333333333335,6.333333333333333,2,2,3,6,7,6
5876f,male,White,United Kingdom,54,2.6666666666666665,6,2,2,4,6,6,6
8b4a9,male,White,United Kingdom,69,1,7,1,1,1,7,7,7
31061,female,White,United Kingdom,44,1,6,1,1,1,6,6,6
0f596,female,White,United Kingdom,41,1.3333333333333333,7,1,1,2,7,7,7
7653f,female,Mixed,United Kingdom,37,2,6.666666666666667,2,1,3,6,7,7
fc91c,male,White,United Kingdom,60,3.6666666666666665,4.666666666666667,3,4,4,5,6,3
f3aad,female,White,United Kingdom,30,2,7,2,1,3,7,7,7
6b2eb,male,White,United Kingdom,63,1,7,1,1,1,7,7,7
a3b0b,male,Asian,United Kingdom,34,1,6.333333333333333,1,1,1,6,6,7
a35d5,male,White,United Kingdom,31,1.6666666666666667,6.666666666666667,2,1,2,7,6,7
735d5,female,White,United Kingdom,50,3.3333333333333335,7,4,2,4,7,7,7
aeb75,female,White,United Kingdom,44,1.3333333333333333,7,1,1,2,7,7,7
0c17b,male,White,United Kingdom,54,1.6666666666666667,7,1,1,3,7,7,7
08a8f,female,White,United Kingdom,24,1,7,1,1,1,7,7,7
58204,female,White,United Kingdom,32,1,6.666666666666667,1,1,1,6,7,7
a536b,female,White,United Kingdom,39,1,6.666666666666667,1,1,1,7,6,7
fb8fc,male,White,United States,57,2.3333333333333335,7,2,1,4,7,7,7
74e27,female,Black,United States,47,1.3333333333333333,6.666666666666667,1,1,2,7,6,7
96497,male,White,United Kingdom,48,3,6.333333333333333,4,1,4,6,7,6
32ba4,male,White,United Kingdom,60,2,5.666666666666667,1,1,4,6,6,5
b5002,male,White,United Kingdom,44,2,5.666666666666667,2,1,3,5,6,6
421d1,male,White,United Kingdom,64,1,7,1,1,1,7,7,7
77f01,male,White,United Kingdom,44,1,7,1,1,1,7,7,7
38407,female,White,United Kingdom,37,2,6.333333333333333,1,1,4,7,7,5
ac8cd,female,White,United Kingdom,39,1,6.666666666666667,1,1,1,6,7,7
b0a63,female,White,United Kingdom,43,1,7,1,1,1,7,7,7
3b894,female,White,United Kingdom,31,1.3333333333333333,7,1,1,2,7,7,7
0d538,female,White,United Kingdom,70,1,7,1,1,1,7,7,7
313c2,female,White,United Kingdom,48,1,7,1,1,1,7,7,7
b4d5a,male,White,United States,37,4,4,4,4,4,4,4,4
0b923,female,White,United Kingdom,30,3,6,4,1,4,6,7,5
2dccc,female,White,United Kingdom,30,1.3333333333333333,7,1,1,2,7,7,7
1c9d1,female,White,United Kingdom,49,2,7,1,1,4,7,7,7
9ad2f,male,White,United Kingdom,35,1,6,1,1,1,6,6,6
1d308,male,White,United Kingdom,54,1,7,1,1,1,7,7,7
fd55a,female,White,United States,42,1,7,1,1,1,7,7,7
d6be5,male,White,United States,60,1.6666666666666667,7,2,1,2,7,7,7
5cc2a,female,White,United Kingdom,59,4,6,4,4,4,6,6,6
c390e,female,White,United Kingdom,63,1,7,1,1,1,7,7,7
da775,female,White,United Kingdom,66,1.3333333333333333,7,1,1,2,7,7,7
e5a57,female,White,United Kingdom,28,1,7,1,1,1,7,7,7
219a4,female,White,United Kingdom,42,3,7,3,3,3,7,7,7
db09a,male,White,United Kingdom,62,2,5.666666666666667,3,1,2,6,6,5
724af,male,Black,United Kingdom,49,1,7,1,1,1,7,7,7
ca9cb,female,White,United States,60,1.6666666666666667,6.666666666666667,2,1,2,7,7,6
54d4b,female,White,United Kingdom,44,2.3333333333333335,6.666666666666667,4,1,2,6,7,7
666b8,female,White,United Kingdom,37,1,7,1,1,1,7,7,7
7913c,female,White,United Kingdom,24,2.3333333333333335,6.333333333333333,4,1,2,6,7,6
53544,male,White,United Kingdom,28,1,6.333333333333333,1,1,1,6,7,6
a8efb,female,White,United States,64,1,7,1,1,1,7,7,7
b3da4,male,White,United Kingdom,31,1.3333333333333333,6.666666666666667,2,1,1,7,7,6
b153e,female,White,United Kingdom,59,2.3333333333333335,7,2,2,3,7,7,7
ad1bc,male,White,United States,74,2,7,1,1,4,7,7,7
643fa,male,White,United Kingdom,64,2.3333333333333335,5.666666666666667,1,2,4,6,6,5
e7903,female,White,United Kingdom,32,1,7,1,1,1,7,7,7
7188f,male,White,United Kingdom,68,1,7,1,1,1,7,7,7
7a464,female,White,United Kingdom,24,1,4,1,1,1,5,4,3
ab22a,female,White,United Kingdom,54,1,7,1,1,1,7,7,7
7c5df,female,White,United Kingdom,62,1,7,1,1,1,7,7,7
caaeb,male,White,United Kingdom,67,1,6.333333333333333,1,1,1,6,7,6
8f46d,female,White,United Kingdom,41,1,6.333333333333333,1,1,1,6,7,6
db35b,female,Mixed,United Kingdom,31,3.6666666666666665,5,4,3,4,5,6,4
70b76,male,White,United Kingdom,36,1,6.333333333333333,1,1,1,6,7,6
66cb1,female,White,United Kingdom,51,2.3333333333333335,6,3,2,2,6,6,6
31556,male,White,United Kingdom,40,4,6.333333333333333,4,4,4,6,7,6
44498,male,White,United Kingdom,34,1,5,1,1,1,5,5,5
9071b,male,White,United Kingdom,66,2,7,3,1,2,7,7,7
766d0,female,Other,United Kingdom,29,2.3333333333333335,7,2,2,3,7,7,7
d703c,female,White,United Kingdom,40,3,7,4,1,4,7,7,7
bfef5,male,White,United States,36,3,7,4,1,4,7,7,7
69e35,male,White,United Kingdom,52,1.3333333333333333,6.666666666666667,1,1,2,6,7,7
e42ee,female,White,United Kingdom,52,2.3333333333333335,5.666666666666667,2,2,3,6,6,5
b1b93,female,White,United Kingdom,61,1.3333333333333333,6,1,1,2,6,6,6
f6350,female,White,United Kingdom,56,2.6666666666666665,6,2,2,4,6,6,6
15ec6,female,White,United Kingdom,39,3.3333333333333335,7,4,3,3,7,7,7
49d49,female,Black,United States,57,4,7,4,4,4,7,7,7
b56de,male,White,United Kingdom,37,2.3333333333333335,7,2,1,4,7,7,7
6fe9f,female,White,United Kingdom,34,1,6,1,1,1,6,6,6
4b832,male,White,United Kingdom,42,1.6666666666666667,6.333333333333333,1,1,3,7,6,6
4add9,female,White,United Kingdom,78,2.6666666666666665,7,2,2,4,7,7,7
8be71,male,Mixed,United Kingdom,36,2.3333333333333335,5.666666666666667,2,1,4,5,6,6
d658c,female,White,United Kingdom,30,3.3333333333333335,6,4,2,4,6,7,5
afc30,female,White,United Kingdom,64,1,7,1,1,1,7,7,7
56430,female,White,United Kingdom,42,1.6666666666666667,6.333333333333333,1,2,2,6,7,6
63105,female,White,United Kingdom,43,2.6666666666666665,7,3,2,3,7,7,7
6d6c5,female,White,United Kingdom,66,2,6,1,1,4,7,6,5
98bd6,female,White,United Kingdom,32,3.3333333333333335,5.333333333333333,4,2,4,5,6,5
b67c9,female,White,United Kingdom,48,1.6666666666666667,6.333333333333333,2,1,2,6,7,6
787ac,male,White,United Kingdom,46,1.6666666666666667,5,2,1,2,5,5,5
0669e,male,White,United Kingdom,79,1.6666666666666667,5.666666666666667,1,1,3,5,6,6
1ee4f,female,White,United Kingdom,38,1,7,1,1,1,7,7,7
dd45b,male,White,United Kingdom,57,3,4.333333333333333,2,3,4,5,5,3
c9a08,female,White,United Kingdom,32,1,7,1,1,1,7,7,7
7f9f1,female,White,United Kingdom,37,1,6.333333333333333,1,1,1,6,7,6
fa95f,male,White,United Kingdom,62,3,6,3,3,3,6,6,6
0fbbe,female,White,United Kingdom,38,2.3333333333333335,6.666666666666667,2,1,4,7,7,6
39308,female,White,United Kingdom,51,2,4.333333333333333,2,2,2,5,4,4
80994,non-binary,White,United Kingdom,29,2.6666666666666665,7,3,2,3,7,7,7
81c76,female,White,United Kingdom,61,1,6,1,1,1,6,6,6
61d1c,female,White,United Kingdom,60,4,7,4,4,4,7,7,7
f82e1,female,White,United Kingdom,57,1,3,1,1,1,3,4,2
a73c5,male,White,United Kingdom,41,2.6666666666666665,5.666666666666667,3,1,4,5,7,5
04bc8,male,White,United Kingdom,44,2,7,1,1,4,7,7,7
04843,male,White,United Kingdom,50,2.3333333333333335,6.333333333333333,2,1,4,6,7,6
7c270,female,White,United Kingdom,47,1,5.666666666666667,1,1,1,6,7,4
3bc42,male,White,United Kingdom,44,1,5,1,1,1,5,5,5
5e3ad,female,White,United Kingdom,40,1,7,1,1,1,7,7,7
fcabd,male,White,United Kingdom,65,3,6.666666666666667,4,1,4,7,7,6
9bf3e,male,White,United Kingdom,61,2,6,1,1,4,6,6,6
2e65b,female,White,United Kingdom,57,1,6,1,1,1,6,6,6
9e8e6,male,White,United Kingdom,79,1,7,1,1,1,7,7,7
4e0c0,female,White,United Kingdom,29,1,7,1,1,1,7,7,7
64947,female,White,United Kingdom,33,1.3333333333333333,7,1,1,2,7,7,7
e0262,male,White,United Kingdom,39,1.3333333333333333,6.333333333333333,1,1,2,6,7,6
ecc93,male,White,United Kingdom,66,3,6.666666666666667,3,2,4,6,7,7
d94f1,female,White,United Kingdom,64,1,7,1,1,1,7,7,7
b0d97,male,White,United Kingdom,33,1,6.333333333333333,1,1,1,7,6,6
e3b9f,female,White,United Kingdom,54,1,5.333333333333333,1,1,1,6,6,4
ccb90,male,White,United Kingdom,23,2.3333333333333335,5,3,1,3,5,5,5
9790d,female,White,United Kingdom,43,2,6.333333333333333,1,1,4,6,7,6
53225,female,White,United Kingdom,27,1.3333333333333333,7,1,1,2,7,7,7
d0eaf,female,White,United Kingdom,48,1.3333333333333333,7,1,1,2,7,7,7
d9a30,female,White,United Kingdom,32,1,7,1,1,1,7,7,7
f6136,female,White,United Kingdom,29,1,5,1,1,1,5,5,5
3d7fb,male,White,United Kingdom,59,1.3333333333333333,6.333333333333333,1,1,2,7,6,6
86621,female,White,United Kingdom,42,1,6.333333333333333,1,1,1,6,6,7
fbae8,female,White,United Kingdom,26,1,7,1,1,1,7,7,7
958f5,female,White,United Kingdom,23,3,6.666666666666667,4,1,4,6,7,7
334ba,female,White,United Kingdom,35,2.6666666666666665,5.666666666666667,2,2,4,6,7,4
46ba3,male,White,United Kingdom,63,4,4,4,4,4,4,4,4
8e155,female,White,United Kingdom,42,1,7,1,1,1,7,7,7
ab378,male,White,United Kingdom,54,2.3333333333333335,7,3,1,3,7,7,7
8c3be,male,White,United States,47,1,7,1,1,1,7,7,7
8a4d7,male,White,United States,36,1,7,1,1,1,7,7,7
8ca46,male,White,United States,27,1,7,1,1,1,7,7,7
56b79,female,White,United Kingdom,33,2,6.666666666666667,3,1,2,6,7,7
accb4,male,White,United Kingdom,53,1.3333333333333333,7,1,1,2,7,7,7
82b82,male,White,United Kingdom,68,1.3333333333333333,6.666666666666667,1,1,2,7,7,6
02534,female,White,United Kingdom,33,1,7,1,1,1,7,7,7
22fcb,female,White,United Kingdom,42,2.3333333333333335,7,2,1,4,7,7,7
9a0c6,male,White,United Kingdom,39,1.3333333333333333,6.666666666666667,1,1,2,7,7,6
77959,female,White,United Kingdom,60,2.3333333333333335,3.3333333333333335,1,2,4,3,3,4
8b11b,male,White,United States,42,2,6.333333333333333,2,2,2,6,6,7
42a32,male,White,United Kingdom,60,1,6,1,1,1,6,6,6
80a65,male,White,United Kingdom,66,1,5.333333333333333,1,1,1,5,6,5
ad9af,male,White,United Kingdom,25,1,5,1,1,1,5,5,5
29c1a,female,White,United Kingdom,44,1,7,1,1,1,7,7,7
559a2,female,White,United Kingdom,35,1,6.333333333333333,1,1,1,6,7,6
cbaf7,male,White,United Kingdom,27,2,7,1,1,4,7,7,7
3b2a7,male,White,United Kingdom,31,3,7,3,2,4,7,7,7
75ea3,male,White,United Kingdom,54,1.6666666666666667,7,2,1,2,7,7,7
a4a01,male,White,United Kingdom,67,1,7,1,1,1,7,7,7
c7046,male,White,United Kingdom,57,1.3333333333333333,6.333333333333333,1,1,2,6,7,6
c5043,female,White,United Kingdom,55,2,5.333333333333333,1,1,4,6,6,4
32c89,male,Asian,United Kingdom,53,1,6.666666666666667,1,1,1,6,7,7
4ee88,female,White,United States,71,1,7,1,1,1,7,7,7
21732,female,White,United Kingdom,38,1,7,1,1,1,7,7,7
69c46,female,Mixed,United States,33,2,6,1,1,4,6,6,6
f92e1,male,White,United Kingdom,55,1,6.666666666666667,1,1,1,7,6,7
02de0,female,White,United Kingdom,37,1,7,1,1,1,7,7,7
