participant_id,gender,ethnicity,country,age,evaluations_poop,evaluations_chocolate,evaluations_poop_pos_neg,evaluations_poop_pleasant_unpleasant,evaluations_poop_good_bad,evaluations_chocolate_pos_neg,evaluations_chocolate_pleasant_unpleasant,evaluations_chocolate_good_bad
24647,male,White,United States,30,1,6,1,1,1,6,6,6
79f3f,male,White,United Kingdom,36,4,6,4,4,4,6,6,6
a4530,male,White,United Kingdom,58,1.3333333333333333,6.333333333333333,1,1,2,6,7,6
f8c5f,male,White,United States,25,1,7,1,1,1,7,7,7
ce299,male,White,United States,40,3,7,3,2,4,7,7,7
0ed74,female,White,United Kingdom,35,1,6.666666666666667,1,1,1,6,7,7
6cfe7,male,White,United Kingdom,64,1.3333333333333333,6.333333333333333,1,1,2,6,7,6
2a340,male,White,United Kingdom,33,3,7,4,1,4,7,7,7
347d9,female,White,United States,42,1,7,1,1,1,7,7,7
a9fd1,female,White,United Kingdom,31,1.6666666666666667,7,1,1,3,7,7,7
ab6fd,male,Asian,United States,25,1,7,1,1,1,7,7,7
fcddd,male,White,United Kingdom,31,2.3333333333333335,7,2,1,4,7,7,7
b5f46,male,White,United Kingdom,56,2,6,2,2,2,6,6,6
db609,female,White,United States,46,1,6,1,1,1,6,6,6
fdbe4,male,White,United Kingdom,64,3.3333333333333335,5.333333333333333,3,3,4,5,6,5
0a0ef,female,White,United Kingdom,56,1,7,1,1,1,7,7,7
56293,female,White,United Kingdom,40,1,7,1,1,1,7,7,7
5c3f7,female,White,United States,34,1,6,1,1,1,6,6,6
0b88b,male,White,United Kingdom,39,1,5,1,1,1,6,5,4
cf3db,female,White,United Kingdom,66,2.6666666666666665,6,2,2,4,6,6,6
be474,male,White,United Kingdom,61,1,5.666666666666667,1,1,1,7,7,3
dd602,female,White,United Kingdom,34,3,7,4,1,4,7,7,7
a34cd,female,Asian,United Kingdom,33,1,7,1,1,1,7,7,7
b2704,female,White,United Kingdom,71,2.3333333333333335,7,2,1,4,7,7,7
c382d,male,Other,United States,53,1,7,1,1,1,7,7,7
07074,female,White,United Kingdom,22,1,7,1,1,1,7,7,7
be615,female,Mixed,United Kingdom,29,1.6666666666666667,7,2,2,1,7,7,7
9a06c,male,White,United Kingdom,39,1.6666666666666667,6.666666666666667,1,1,3,7,7,6
5b102,male,White,United Kingdom,34,1,6,1,1,1,6,6,6
8b001,female,White,United Kingdom,41,1,7,1,1,1,7,7,7
b2ba5,male,White,United Kingdom,30,2,6.333333333333333,1,1,4,6,7,6
20f17,female,White,United Kingdom,57,1,7,1,1,1,7,7,7
c47c5,female,White,United Kingdom,45,1,7,1,1,1,7,7,7
fe59a,male,White,United Kingdom,66,1.6666666666666667,6.333333333333333,1,1,3,7,7,5
36e65,female,White,United Kingdom,48,2,7,1,1,4,7,7,7
75b97,male,White,United Kingdom,52,1.3333333333333333,6.666666666666667,1,1,2,7,7,6
41be8,female,White,United Kingdom,56,1,7,1,1,1,7,7,7
6ebc0,male,White,United States,50,1,6.666666666666667,1,1,1,6,7,7
11a54,male,White,United Kingdom,53,1,7,1,1,1,7,7,7
ebdbb,female,White,United States,54,2,6,1,1,4,6,6,6
09d05,male,White,United Kingdom,45,3,6,3,3,3,6,6,6
a8e48,male,White,United Kingdom,36,1,6.333333333333333,1,1,1,6,7,6
a8c02,male,White,United Kingdom,48,1.3333333333333333,6,1,1,2,6,6,6
ec85f,female,White,United Kingdom,33,2,5.666666666666667,1,1,4,5,6,6
8c1b2,male,White,United Kingdom,33,2,7,1,1,4,7,7,7
073fd,female,White,United Kingdom,61,2.6666666666666665,7,2,2,4,7,7,7
0adc9,male,White,United Kingdom,42,2,5,1,1,4,5,5,5
95ef5,male,Asian,United Kingdom,36,1,7,1,1,1,7,7,7
ec227,male,White,United Kingdom,44,2,6,1,1,4,6,6,6
8bbf7,male,White,United Kingdom,53,1.3333333333333333,7,1,1,2,7,7,7
f7c3c,female,White,United Kingdom,27,3,7,1,1,7,7,7,7
cb34c,male,White,United Kingdom,43,2.6666666666666665,5.666666666666667,3,1,4,6,6,5
b335e,male,White,United Kingdom,38,1,6,1,1,1,6,6,6
30252,male,White,United States,67,1,6,1,1,1,6,6,6
be46d,male,White,United Kingdom,35,1,6,1,1,1,6,6,6
c9e05,female,White,United Kingdom,54,1.6666666666666667,7,2,1,2,7,7,7
7e0ca,male,White,United Kingdom,39,2.3333333333333335,6.333333333333333,2,1,4,6,7,6
98f07,female,White,United Kingdom,41,1,6,1,1,1,5,6,7
6b859,male,White,United States,28,1,7,1,1,1,7,7,7
3ec04,female,White,United Kingdom,47,1,7,1,1,1,7,7,7
d8848,female,Asian,United Kingdom,37,3.6666666666666665,6,4,3,4,6,6,6
cc2eb,male,White,United Kingdom,34,3,6,4,1,4,4,7,7
afeda,male,White,United Kingdom,54,1.3333333333333333,7,1,1,2,7,7,7
067c6,male,White,United Kingdom,55,1,7,1,1,1,7,7,7
8b77d,male,White,United Kingdom,52,1,6.333333333333333,1,1,1,6,7,6
69b1d,male,White,United Kingdom,54,2.6666666666666665,6.333333333333333,3,2,3,6,7,6
6c0d6,male,White,United Kingdom,62,3,4.666666666666667,4,1,4,4,6,4
0bd1e,female,White,United States,41,2,6,1,3,2,6,6,6
be698,female,White,United Kingdom,22,1,6.666666666666667,1,1,1,6,7,7
ac910,female,White,United Kingdom,65,1,7,1,1,1,7,7,7
ffb4a,male,Asian,United Kingdom,45,1,3,1,1,1,3,3,3
e3e41,male,White,United States,34,1,7,1,1,1,7,7,7
dfd57,male,White,United Kingdom,37,1.3333333333333333,6,1,1,2,6,6,6
82d5d,male,White,United Kingdom,51,3,4.333333333333333,3,2,4,4,5,4
0da81,female,White,United Kingdom,46,2,7,1,1,4,7,7,7
c2a8b,male,White,United Kingdom,60,1.3333333333333333,7,1,1,2,7,7,7
d38e4,male,White,United Kingdom,29,2,7,2,1,3,7,7,7
282cb,female,White,United Kingdom,64,1,6.333333333333333,1,1,1,6,7,6
4a04f,female,White,United States,54,1.6666666666666667,7,2,1,2,7,7,7
820f5,male,Asian,United Kingdom,21,1,7,1,1,1,7,7,7
83b0f,male,Mixed,United Kingdom,43,1,7,1,1,1,7,7,7
4e11a,male,White,United Kingdom,26,2,6,2,1,3,6,6,6
76d4b,female,White,United Kingdom,35,1,7,1,1,1,7,7,7
25ab7,female,White,United Kingdom,52,1,4.666666666666667,1,1,1,4,5,5
ee396,male,Black,United Kingdom,40,1.3333333333333333,7,2,1,1,7,7,7
cd8a0,female,White,United Kingdom,68,1,6,1,1,1,6,7,5
db6aa,female,Mixed,United States,60,1,6.666666666666667,1,1,1,6,7,7
ae82b,female,White,United Kingdom,68,2.3333333333333335,7,1,2,4,7,7,7
b7890,male,White,United States,68,2.3333333333333335,7,2,2,3,7,7,7
949ad,female,White,United States,67,1.3333333333333333,6.666666666666667,1,1,2,7,7,6
dcddb,male,White,United States,23,1,7,1,1,1,7,7,7
52acc,male,White,United Kingdom,21,2.6666666666666665,6,3,1,4,6,7,5
f2512,male,Mixed,United Kingdom,28,1,7,1,1,1,7,7,7
b7fde,male,White,United Kingdom,45,2,5.666666666666667,1,1,4,6,6,5
79e33,female,White,United Kingdom,31,1,7,1,1,1,7,7,7
636ad,male,White,United Kingdom,53,4,4.666666666666667,3,4,5,5,6,3
b9b5e,female,White,United Kingdom,45,4,7,4,4,4,7,7,7
fa13c,male,White,United Kingdom,59,1,7,1,1,1,7,7,7
0bb78,female,White,United States,36,1,7,1,1,1,7,7,7
8964f,female,White,United Kingdom,41,2.3333333333333335,7,2,2,3,7,7,7
e8616,female,White,United States,35,1,7,1,1,1,7,7,7
b093a,female,Black,United States,27,1,7,1,1,1,7,7,7
f1490,female,Asian,United States,35,1.3333333333333333,7,1,1,2,7,7,7
3d133,female,Mixed,United States,38,2,7,1,1,4,7,7,7
6dbc7,female,White,United States,26,1.3333333333333333,6.666666666666667,2,1,1,6,7,7
d7e76,male,White,United Kingdom,53,1,7,1,1,1,7,7,7
a0dad,male,Asian,United States,25,1,7,1,1,1,7,7,7
53c80,male,White,United Kingdom,44,1,7,1,1,1,7,7,7
24525,female,White,United Kingdom,58,2.6666666666666665,6,2,2,4,6,6,6
8fe6b,female,White,United Kingdom,31,1,5.666666666666667,1,1,1,6,6,5
e3f48,male,White,United Kingdom,45,2,4.666666666666667,1,1,4,5,5,4
2c854,female,White,United Kingdom,37,3.6666666666666665,7,4,3,4,7,7,7
0dedf,female,Black,United States,33,1.3333333333333333,7,1,1,2,7,7,7
972ca,male,White,United Kingdom,60,1,7,1,1,1,7,7,7
2b40b,female,Asian,United Kingdom,39,1,7,1,1,1,7,7,7
d1317,male,White,United Kingdom,47,3.6666666666666665,3.6666666666666665,4,3,4,4,3,4
8091a,female,White,United Kingdom,59,1,7,1,1,1,7,7,7
07543,female,White,United States,64,3,7,3,2,4,7,7,7
22ae4,male,Asian,United Kingdom,22,1,7,1,1,1,7,7,7
5577b,male,White,United Kingdom,25,1,7,1,1,1,7,7,7
b5293,male,White,United States,53,2,6,2,2,2,6,6,6
63010,female,Mixed,United Kingdom,30,1,7,1,1,1,7,7,7
0c155,female,Black,United Kingdom,52,1.6666666666666667,6,2,1,2,6,7,5
4de9f,female,White,United Kingdom,28,4,5,4,4,4,5,5,5
764a5,male,White,United Kingdom,23,2.6666666666666665,5.666666666666667,2,2,4,6,6,5
80d18,female,White,United Kingdom,43,2.3333333333333335,5.333333333333333,2,2,3,5,5,6
cc338,female,White,United Kingdom,41,1,6.666666666666667,1,1,1,7,7,6
ca471,male,White,United Kingdom,27,2,7,1,1,4,7,7,7
65dc7,female,White,United Kingdom,28,1,7,1,1,1,7,7,7
78675,female,White,United Kingdom,37,2.3333333333333335,6,2,1,4,6,7,5
2cf2d,female,White,United Kingdom,34,2.6666666666666665,7,3,1,4,7,7,7
57908,male,White,United Kingdom,46,2,2.6666666666666665,2,2,2,3,4,1
ba36c,male,White,United Kingdom,35,2,6.666666666666667,1,1,4,7,7,6
ca2b3,female,White,United Kingdom,37,1,7,1,1,1,7,7,7
b7065,female,White,United Kingdom,33,1,7,1,1,1,7,7,7
12af1,female,White,United Kingdom,34,1,7,1,1,1,7,7,7
cde33,male,White,United Kingdom,38,1.3333333333333333,6.666666666666667,1,1,2,7,7,6
042ad,male,White,United States,51,3.3333333333333335,7,3,3,4,7,7,7
06f35,female,White,United Kingdom,54,4.666666666666667,5.666666666666667,5,4,5,7,7,3
88196,female,White,United States,51,3.3333333333333335,6,4,2,4,6,6,6
89a0d,male,White,United Kingdom,22,1,7,1,1,1,7,7,7
c72d1,female,Black,United Kingdom,29,1,7,1,1,1,7,7,7
fcfb0,male,Mixed,United Kingdom,37,2.6666666666666665,6.666666666666667,2,2,4,7,7,6
c54fd,male,White,United Kingdom,53,3.3333333333333335,6,4,2,4,6,6,6
91269,male,Black,United Kingdom,41,1.3333333333333333,7,1,1,2,7,7,7
d5b8c,male,White,United Kingdom,51,2.6666666666666665,6,2,2,4,6,6,6
0baa9,female,White,United Kingdom,36,1.3333333333333333,6.666666666666667,1,1,2,7,6,7
23620,female,White,United Kingdom,49,3,7,4,1,4,7,7,7
c023a,female,White,United Kingdom,56,2,6.333333333333333,1,1,4,7,6,6
3ca9e,female,White,United Kingdom,45,1.3333333333333333,6.666666666666667,1,1,2,7,7,6
50bd9,male,White,United Kingdom,22,3.3333333333333335,6.333333333333333,4,2,4,6,7,6
3333a,female,White,United States,29,1,7,1,1,1,7,7,7
a4ee7,female,White,United Kingdom,54,3,7,3,2,4,7,7,7
84b3b,male,Black,United States,28,3.6666666666666665,6.333333333333333,4,3,4,7,7,5
8d6eb,female,White,United States,61,1,7,1,1,1,7,7,7
3f98a,female,White,United Kingdom,35,1,7,1,1,1,7,7,7
d84e0,female,White,United Kingdom,40,1,7,1,1,1,7,7,7
25a58,female,Mixed,United States,36,3,5.333333333333333,4,1,4,4,6,6
39c80,male,White,United Kingdom,27,3.6666666666666665,7,4,3,4,7,7,7
05ab1,male,White,United Kingdom,41,1,7,1,1,1,7,7,7
c03d6,female,Mixed,United Kingdom,63,2,7,2,2,2,7,7,7
e689f,female,Black,United States,29,3,5.333333333333333,4,1,4,5,6,5
4b034,female,White,United Kingdom,58,2,7,2,2,2,7,7,7
1c49e,female,White,United Kingdom,24,1.3333333333333333,6.333333333333333,1,1,2,6,7,6
1dff6,female,Asian,United Kingdom,38,1,7,1,1,1,7,7,7
869b9,female,White,United Kingdom,21,1,4.333333333333333,1,1,1,4,5,4
c43e9,male,White,United Kingdom,46,1.3333333333333333,6.333333333333333,1,1,2,6,7,6
4b34f,male,Mixed,United States,31,1.3333333333333333,6.333333333333333,2,1,1,7,6,6
68f40,female,White,United Kingdom,38,2,7,2,2,2,7,7,7
cba57,female,White,United Kingdom,62,2.3333333333333335,6.333333333333333,2,1,4,7,6,6
16ca0,female,White,United Kingdom,70,1,7,1,1,1,7,7,7
495db,female,White,United Kingdom,50,1.3333333333333333,7,1,1,2,7,7,7
5405b,male,Mixed,United Kingdom,25,1,7,1,1,1,7,7,7
107e7,male,White,United Kingdom,61,1,7,1,1,1,7,7,7
2c248,male,White,United Kingdom,60,1.3333333333333333,5,1,2,1,5,5,5
4f9d9,female,White,United States,48,1,6.666666666666667,1,1,1,6,7,7
448dd,female,White,United Kingdom,42,1,7,1,1,1,7,7,7
8e073,female,White,United Kingdom,35,1.6666666666666667,6,2,1,2,6,6,6
db430,female,White,United Kingdom,66,1,7,1,1,1,7,7,7
bd418,male,White,United Kingdom,54,1,6.666666666666667,1,1,1,7,7,6
d9f43,female,White,United Kingdom,54,1,7,1,1,1,7,7,7
ab8cd,male,White,United Kingdom,63,1,6.333333333333333,1,1,1,6,7,6
e1629,male,White,United Kingdom,40,3,7,1,1,7,7,7,7
8cda1,female,White,United Kingdom,51,1.3333333333333333,7,1,1,2,7,7,7
31043,male,White,United Kingdom,44,1,6.666666666666667,1,1,1,7,6,7
71069,male,Asian,United Kingdom,51,2.3333333333333335,6,2,1,4,6,7,5
35a11,male,White,United States,38,1,6,1,1,1,6,6,6
fbc19,female,Black,United States,33,1,7,1,1,1,7,7,7
37d0e,male,White,United Kingdom,32,3,7,4,1,4,7,7,7
53721,female,White,United Kingdom,57,1.3333333333333333,7,1,1,2,7,7,7
2545c,male,Black,United Kingdom,21,3,6.333333333333333,4,1,4,6,7,6
a512f,female,White,United Kingdom,40,1,7,1,1,1,7,7,7
a203e,male,White,United Kingdom,53,2,4.666666666666667,1,1,4,5,5,4
263ed,male,White,United Kingdom,45,3.3333333333333335,6.666666666666667,4,2,4,6,7,7
19a72,male,White,United Kingdom,61,1.6666666666666667,6.666666666666667,2,1,2,6,7,7
8d343,male,Black,United Kingdom,54,2,7,1,1,4,7,7,7
62780,female,White,United Kingdom,38,4,7,4,4,4,7,7,7
ec50b,female,White,United Kingdom,43,2.3333333333333335,7,2,2,3,7,7,7
89280,female,White,United Kingdom,25,1,6.333333333333333,1,1,1,6,6,7
cd823,female,White,United Kingdom,25,1.6666666666666667,6.666666666666667,1,1,3,7,7,6
4987a,female,White,United Kingdom,22,1,7,1,1,1,7,7,7
f9ba2,female,Black,United States,25,2.6666666666666665,5.333333333333333,2,3,3,5,5,6
adc47,female,White,United Kingdom,41,1,7,1,1,1,7,7,7
ac590,female,White,United Kingdom,53,1,5.666666666666667,1,1,1,5,7,5
715af,female,White,United Kingdom,64,3.3333333333333335,5,4,2,4,5,5,5
cccd7,female,Black,United States,45,2,7,1,1,4,7,7,7
e62fa,male,White,United States,47,1,5,1,1,1,5,5,5
5e161,female,White,United States,39,2.3333333333333335,6.666666666666667,2,1,4,6,7,7
c4765,female,White,United Kingdom,37,1,7,1,1,1,7,7,7
d215c,male,White,United Kingdom,34,1,7,1,1,1,7,7,7
e72f8,male,White,United Kingdom,45,2,7,1,1,4,7,7,7
f9981,male,Mixed,United Kingdom,32,1,7,1,1,1,7,7,7
95e2e,female,White,United States,30,1,7,1,1,1,7,7,7
8c999,male,White,United Kingdom,29,1,7,1,1,1,7,7,7
b5bd9,male,White,United Kingdom,42,1,5.333333333333333,1,1,1,5,6,5
6300a,female,Other,United Kingdom,36,1,7,1,1,1,7,7,7
bf7fc,male,White,United Kingdom,59,3,6.333333333333333,2,1,6,7,7,5
40dc6,female,White,United Kingdom,61,2.6666666666666665,5.333333333333333,3,2,3,5,5,6
d4cf2,female,White,United Kingdom,35,3,4.666666666666667,4,2,3,4,6,4
4b619,male,White,United Kingdom,43,1,6,1,1,1,6,6,6
28266,male,White,United Kingdom,31,4,7,4,1,7,7,7,7
39502,female,White,United Kingdom,19,2,6,1,1,4,6,7,5
883d4,female,White,United Kingdom,52,2.6666666666666665,6.333333333333333,2,2,4,6,7,6
c6843,male,Other,United Kingdom,51,1.3333333333333333,7,1,1,2,7,7,7
15137,male,White,United Kingdom,60,1.3333333333333333,4.666666666666667,1,1,2,4,5,5
026c2,female,White,United Kingdom,32,1,7,1,1,1,7,7,7
bf0bd,male,White,United Kingdom,43,2.6666666666666665,7,4,1,3,7,7,7
61de6,female,White,United States,20,2,7,1,1,4,7,7,7
2721b,female,Black,United Kingdom,53,1,7,1,1,1,7,7,7
57ec2,male,Asian,United Kingdom,19,4,7,4,4,4,7,7,7
d4bff,female,White,United Kingdom,48,1,7,1,1,1,7,7,7
fe827,male,White,United Kingdom,65,1.6666666666666667,7,2,1,2,7,7,7
31f66,female,White,United Kingdom,53,1.3333333333333333,7,1,1,2,7,7,7
17e17,male,Black,United Kingdom,33,1,7,1,1,1,7,7,7
1ab6f,female,White,United Kingdom,20,3,7,3,3,3,7,7,7
b705e,female,Mixed,United Kingdom,52,2,5.333333333333333,2,2,2,5,5,6
1ea94,male,Black,United States,30,1,7,1,1,1,7,7,7
9b5fb,male,Black,United Kingdom,32,1.6666666666666667,6.333333333333333,2,1,2,7,6,6
d59a4,female,White,United Kingdom,34,1,7,1,1,1,7,7,7
caf20,male,White,United Kingdom,51,2,6.333333333333333,2,1,3,6,7,6
b6cab,female,White,United States,32,1,7,1,1,1,7,7,7
15b19,male,Black,United Kingdom,30,1,7,1,1,1,7,7,7
9f885,female,Black,United Kingdom,51,2,5,1,1,4,5,6,4
2849a,male,Black,United States,28,1,6.666666666666667,1,1,1,6,7,7
0eda7,male,White,United Kingdom,52,3,7,3,2,4,7,7,7
d65d2,female,White,United States,34,1,6.666666666666667,1,1,1,6,7,7
5570a,female,White,United Kingdom,51,2,7,1,1,4,7,7,7
49390,male,Black,United Kingdom,41,1.3333333333333333,5.666666666666667,2,1,1,6,6,5
1c8b9,female,Black,United States,60,1,7,1,1,1,7,7,7
384d7,male,White,United Kingdom,71,2.6666666666666665,6,2,2,4,6,7,5
d1b8d,female,Other,United Kingdom,38,1,6,1,1,1,6,6,6
bd168,female,Asian,United Kingdom,30,1,6.666666666666667,1,1,1,6,7,7
